"출입국항별","시점","내외국인별","항목","성별",데이터
"인천공항","2001","내국인","입국자","남자",70444
"인천공항","2001","내국인","입국자","여자",69542
"인천공항","2001","내국인","출국자","남자",96551
"인천공항","2001","내국인","출국자","여자",103115
"인천공항","2001","외국인","입국자","남자",60699
"인천공항","2001","외국인","입국자","여자",47963
"인천공항","2001","외국인","출국자","남자",44548
"인천공항","2001","외국인","출국자","여자",28348
"인천공항","2002","내국인","입국자","남자",101032
"인천공항","2002","내국인","입국자","여자",102880
"인천공항","2002","내국인","출국자","남자",124319
"인천공항","2002","내국인","출국자","여자",136808
"인천공항","2002","외국인","입국자","남자",77745
"인천공항","2002","외국인","입국자","여자",57354
"인천공항","2002","외국인","출국자","남자",58784
"인천공항","2002","외국인","출국자","여자",38709
"인천공항","2003","내국인","입국자","남자",102093
"인천공항","2003","내국인","입국자","여자",106827
"인천공항","2003","내국인","출국자","남자",125215
"인천공항","2003","내국인","출국자","여자",138674
"인천공항","2003","외국인","입국자","남자",85643
"인천공항","2003","외국인","입국자","여자",54732
"인천공항","2003","외국인","출국자","남자",81678
"인천공항","2003","외국인","출국자","여자",52410
"인천공항","2004","내국인","입국자","남자",105204
"인천공항","2004","내국인","입국자","여자",109738
"인천공항","2004","내국인","출국자","남자",134224
"인천공항","2004","내국인","출국자","여자",147222
"인천공항","2004","외국인","입국자","남자",86848
"인천공항","2004","외국인","입국자","여자",62978
"인천공항","2004","외국인","출국자","남자",75996
"인천공항","2004","외국인","출국자","여자",47702
"인천공항","2005","내국인","입국자","남자",115751
"인천공항","2005","내국인","입국자","여자",121853
"인천공항","2005","내국인","출국자","남자",149303
"인천공항","2005","내국인","출국자","여자",161084
"인천공항","2005","외국인","입국자","남자",126932
"인천공항","2005","외국인","입국자","여자",87119
"인천공항","2005","외국인","출국자","남자",144938
"인천공항","2005","외국인","출국자","여자",84737
"인천공항","2006","내국인","입국자","남자",131321
"인천공항","2006","내국인","입국자","여자",134263
"인천공항","2006","내국인","출국자","남자",164182
"인천공항","2006","내국인","출국자","여자",174412
"인천공항","2006","외국인","입국자","남자",146542
"인천공항","2006","외국인","입국자","여자",99911
"인천공항","2006","외국인","출국자","남자",89168
"인천공항","2006","외국인","출국자","여자",56476
"인천공항","2007","내국인","입국자","남자",141105
"인천공항","2007","내국인","입국자","여자",144269
"인천공항","2007","내국인","출국자","남자",172152
"인천공항","2007","내국인","출국자","여자",178329
"인천공항","2007","외국인","입국자","남자",137054
"인천공항","2007","외국인","입국자","여자",112276
"인천공항","2007","외국인","출국자","남자",75387
"인천공항","2007","외국인","출국자","여자",51843
"인천공항","2008","내국인","입국자","남자",152644
"인천공항","2008","내국인","입국자","여자",154104
"인천공항","2008","내국인","출국자","남자",169465
"인천공항","2008","내국인","출국자","여자",172990
"인천공항","2008","외국인","입국자","남자",142198
"인천공항","2008","외국인","입국자","여자",114242
"인천공항","2008","외국인","출국자","남자",104242
"인천공항","2008","외국인","출국자","여자",70362
"인천공항","2009","내국인","입국자","남자",156396
"인천공항","2009","내국인","입국자","여자",155340
"인천공항","2009","내국인","출국자","남자",145609
"인천공항","2009","내국인","출국자","여자",148251
"인천공항","2009","외국인","입국자","남자",105697
"인천공항","2009","외국인","입국자","여자",97197
"인천공항","2009","외국인","출국자","남자",117883
"인천공항","2009","외국인","출국자","여자",83405
"인천공항","2010","내국인","입국자","남자",145965
"인천공항","2010","내국인","입국자","여자",148001
"인천공항","2010","내국인","출국자","남자",150172
"인천공항","2010","내국인","출국자","여자",156301
"인천공항","2010","외국인","입국자","남자",136716
"인천공항","2010","외국인","입국자","여자",118154
"인천공항","2010","외국인","출국자","남자",89995
"인천공항","2010","외국인","출국자","여자",73782
"인천공항","2011","내국인","입국자","남자",149233
"인천공항","2011","내국인","입국자","여자",148994
"인천공항","2011","내국인","출국자","남자",151081
"인천공항","2011","내국인","출국자","여자",151129
"인천공항","2011","외국인","입국자","남자",147431
"인천공항","2011","외국인","입국자","여자",117704
"인천공항","2011","외국인","출국자","남자",99311
"인천공항","2011","외국인","출국자","여자",77592
"인천공항","2012","내국인","입국자","남자",443102
"인천공항","2012","내국인","입국자","여자",437507
"인천공항","2012","내국인","출국자","남자",452870
"인천공항","2012","내국인","출국자","여자",452298
"인천공항","2012","외국인","입국자","남자",429316
"인천공항","2012","외국인","입국자","여자",349153
"인천공항","2012","외국인","출국자","남자",320930
"인천공항","2012","외국인","출국자","여자",248427
"인천공항","2013","내국인","입국자","남자",145652
"인천공항","2013","내국인","입국자","여자",137220
"인천공항","2013","내국인","출국자","남자",151941
"인천공항","2013","내국인","출국자","여자",141817
"인천공항","2013","외국인","입국자","남자",175105
"인천공항","2013","외국인","입국자","여자",134839
"인천공항","2013","외국인","출국자","남자",117888
"인천공항","2013","외국인","출국자","여자",98025
"인천공항","2014","내국인","입국자","남자",145019
"인천공항","2014","내국인","입국자","여자",130075
"인천공항","2014","내국인","출국자","남자",140468
"인천공항","2014","내국인","출국자","여자",134910
"인천공항","2014","외국인","입국자","남자",194067
"인천공항","2014","외국인","입국자","여자",155384
"인천공항","2014","외국인","출국자","남자",115103
"인천공항","2014","외국인","출국자","여자",103756
"인천공항","2015","내국인","입국자","남자",138858
"인천공항","2015","내국인","입국자","여자",124534
"인천공항","2015","내국인","출국자","남자",138947
"인천공항","2015","내국인","출국자","여자",135295
"인천공항","2015","외국인","입국자","남자",170986
"인천공항","2015","외국인","입국자","여자",143525
"인천공항","2015","외국인","출국자","남자",130335
"인천공항","2015","외국인","출국자","여자",109977
"인천공항","2016","내국인","입국자","남자",136025
"인천공항","2016","내국인","입국자","여자",124538
"인천공항","2016","내국인","출국자","남자",132641
"인천공항","2016","내국인","출국자","여자",132421
"인천공항","2016","외국인","입국자","남자",186190
"인천공항","2016","외국인","입국자","여자",153157
"인천공항","2016","외국인","출국자","남자",140489
"인천공항","2016","외국인","출국자","여자",115002
"인천공항","2017","내국인","입국자","남자",132564
"인천공항","2017","내국인","입국자","여자",121114
"인천공항","2017","내국인","출국자","남자",125305
"인천공항","2017","내국인","출국자","여자",130748
"인천공항","2017","외국인","입국자","남자",210162
"인천공항","2017","외국인","입국자","여자",174969
"인천공항","2017","외국인","출국자","남자",151742
"인천공항","2017","외국인","출국자","여자",124441
"인천공항","2018","내국인","입국자","남자",134600
"인천공항","2018","내국인","입국자","여자",132624
"인천공항","2018","내국인","출국자","남자",122582
"인천공항","2018","내국인","출국자","여자",127123
"인천공항","2018","외국인","입국자","남자",229397
"인천공항","2018","외국인","입국자","여자",189754
"인천공항","2018","외국인","출국자","남자",160929
"인천공항","2018","외국인","출국자","여자",130711
"인천공항","2019","내국인","입국자","남자",130763
"인천공항","2019","내국인","입국자","여자",126055
"인천공항","2019","내국인","출국자","남자",119872
"인천공항","2019","내국인","출국자","여자",126747
"인천공항","2019","외국인","입국자","남자",189463
"인천공항","2019","외국인","입국자","여자",163755
"인천공항","2019","외국인","출국자","남자",186041
"인천공항","2019","외국인","출국자","여자",155902
"인천공항","2020","내국인","입국자","남자",215308
"인천공항","2020","내국인","입국자","여자",192236
"인천공항","2020","내국인","출국자","남자",103601
"인천공항","2020","내국인","출국자","여자",80683
"인천공항","2020","외국인","입국자","남자",107974
"인천공항","2020","외국인","입국자","여자",111761
"인천공항","2020","외국인","출국자","남자",177105
"인천공항","2020","외국인","출국자","여자",140424
"인천공항","2021","내국인","입국자","남자",108753
"인천공항","2021","내국인","입국자","여자",79094
"인천공항","2021","내국인","출국자","남자",112505
"인천공항","2021","내국인","출국자","여자",98314
"인천공항","2021","외국인","입국자","남자",106143
"인천공항","2021","외국인","입국자","여자",111261
"인천공항","2021","외국인","출국자","남자",138749
"인천공항","2021","외국인","출국자","여자",112458
"인천공항","2022","내국인","입국자","남자",98654
"인천공항","2022","내국인","입국자","여자",86959
"인천공항","2022","내국인","출국자","남자",133287
"인천공항","2022","내국인","출국자","여자",130722
"인천공항","2022","외국인","입국자","남자",220602
"인천공항","2022","외국인","입국자","여자",172332
"인천공항","2022","외국인","출국자","남자",124034
"인천공항","2022","외국인","출국자","여자",106797
"인천공항","2023","내국인","입국자","남자",97746
"인천공항","2023","내국인","입국자","여자",95233
"인천공항","2023","내국인","출국자","남자",113276
"인천공항","2023","내국인","출국자","여자",118599
"인천공항","2023","외국인","입국자","남자",238300
"인천공항","2023","외국인","입국자","여자",181388
"인천공항","2023","외국인","출국자","남자",148900
"인천공항","2023","외국인","출국자","여자",130769
"인천공항","2024","내국인","입국자","남자",118636
"인천공항","2024","내국인","입국자","여자",117094
"인천공항","2024","내국인","출국자","남자",107361
"인천공항","2024","내국인","출국자","여자",112053
"인천공항","2024","외국인","입국자","남자",213978
"인천공항","2024","외국인","입국자","여자",169391
"인천공항","2024","외국인","출국자","남자",161611
"인천공항","2024","외국인","출국자","여자",136567
